Date;Day;High_Temp;Low_Temp;Precipitation;Brooklyn_Bridge;Manhattan_Bridge;Williamsburg_Bridge;Queensboro_Bridge;Total
1;friday;70;55;0;2945;5611;6576;5398;20530
2;saturday;66.9;54;0.53;1876;3121;3625;3325;11947
3;sunday;69.1;60.1;0.74;1004;1867;2479;1711;7061
4;Monday;79;62.1;0;2866;4766;4882;4346;16860
5;tuesday;84;70;0;3244;7244;7537;5906;23931
6;wednesday;70;62.1;0.42;1232;2672;3310;2951;10165
7;thursday;71.1;59;0.01;3249;7059;7717;5923;23948
8;friday;70;59;0;3234;6850;7739;5836;23659
9;saturday;69.1;55;0;2609;5035;5849;4471;17964
10;sunday;72;57;0;4960;5673;5773;4381;20787
11;Monday;75.9;55;0;3657;7783;8254;5986;25680
12;tuesday;78.1;61;0;3497;7983;8756;6386;26622
13;wednesday;82;64.9;0.06;2994;7461;8095;6213;24763
14;thursday;81;70;0.02;3013;6703;7629;5697;23042
15;friday;81;66.9;0;3344;6998;7749;5853;23944
16;saturday;82;70;0;2560;4860;5568;4532;17520
17;sunday;80.1;70;0;2676;4935;5599;4032;17242
18;Monday;73;69.1;0;2673;6338;6708;4864;20583
19;tuesday;78.1;69.1;0.22;2012;4726;5729;4171;16638
20;wednesday;78.1;71.1;0;3296;6826;7518;5570;23210
21;thursday;80.1;71.1;0;3317;6663;8151;5792;23923
22;friday;82;66;0;3297;6272;7570;5547;22686
23;saturday;86;68;0;2810;4940;6167;4635;18552
24;sunday;90;69.1;0;2543;4500;5083;3977;16103
25;monday;87.1;72;0;3276;7227;7708;5941;24152
26;tuesday;82;69.1;0;3157;7676;8150;6179;25162
27;wednesday;84.9;71.1;0;3216;7313;7983;6309;24821
28;thursday;78.1;66;0;3421;7301;8118;6277;25117
29;friday;66.9;55;0;2988;6221;7659;5677;22545
30;saturday;64;55.9;0;1903;3507;4749;3729;13888
